move_num,color_next,winrate_B,winrate_W,LZ_next_move,variation,actual_next_move,LZ_all_next_moves
0,B,43.40,56.60,Q4,"Q4 D16 D4 Q16 C14 C6 R14 R6 F17 F16 G16 F15 D17",Q16,Q4 D16 D4 Q16 C4 R4 R16 D17 C16 Q3 D3 Q17 
1,W,43.42,56.58,D4,"D4 D16 Q4 C3 C4 D3 E4 F3 C14 G2 F4 D10 C17 C16 D17 E16",D4,D4 Q4 D16 
2,B,43.54,56.46,D16,"D16 Q4 C3 C4 D3 E4 F3 E3 E2 B3 R6 H3 O3 Q6 Q7 P6 R4 R3",C16,D16 Q4 C3 C16 Q3 F3 C6 R4 D17 
3,W,43.17,56.83,Q4,"Q4 C3 C4 D3 E4 F2 R14 F16 R17 R16 Q17 P16 S16 S15 S17 R3 R4 Q3 P4 P3 O4 O3 O17",R4,Q4 R4 
4,B,43.81,56.19,P3,"P3 Q3 P4 R6 C6 F3 E16 L3 P7 M5 M7 K6 D10 L8 R14 K17 H17 O17 M17",P4,P3 C3 E16 F16 C6 F17 
5,W,42.89,57.11,P3,"P3 O3 Q3 O4 R6 F16 R17 Q17 R16 R14 R15 Q15 S14 F3 C6 D3",P3,P3 R17 E17 E16 
6,B,42.82,57.18,O3,"O3 Q3 O4 R6 E16 K3 P7 C6 D7 D6 G3 E3 J4 K4 K5",O3,O3 Q4 
7,W,42.77,57.23,Q3,"Q3 O4 R6 E16 K3 P7 C6 D7 D6 G3 E3 J4 K4 K5",Q3,Q3 P2 
8,B,42.77,57.23,O4,"O4 R6 E16 K3 P7 C6 D7 D6 G3 E3 J4 K4 K5",C6,O4 N4 
9,W,38.59,61.41,O4,"O4 F3 F4 G4 F5 D3 C3 E3 D6 E4 D5 C2 B4 B3 C4 N3 O5 M5 E17 D15 H17 P6 O6 O7 P5",F3,O4 E17 R17 F3 E16 C5 
10,B,42.71,57.29,O4,"O4 R6 F17 K4 P7 R17 Q17 R16 R14 R15 Q15 S14 D11 L16 J16 Q14 R13 S13 P14 Q13 R12 Q12",N4,O4 C4 
11,W,40.50,59.50,R17,"R17 Q17 R16 R14 R15 Q15 S14 H17 D13 E16 D10 C4 C3 B3 C5 B4 D5 B5",Q5,R17 E17 E16 O5 R14 O17 M3 
12,B,45.61,54.39,F17,"F17 K4 O17 C9 C11 E9 E11 C4 G4 G3 K6 F7",J3,F17 F16 J3 E16 C4 R14 H17 H3 
13,W,44.18,55.82,R17,"R17 Q17 R16 R14 R15 Q15 S14 F16 M3 N2 R13 Q14 R18 C4 C3 B3 C2 D5 B4 C5 B2",E17,R17 M3 E16 E17 B4 R14 O17 B5 
14,B,45.62,54.38,G16,"G16 M3 N2 K3 K4 J4 H3 H4 K5 G3 K2 L3 L2",H16,G16 D14 G17 H17 D15 H16 C4 D17 
15,W,43.51,56.49,R17,"R17 Q17 R16 R14 R15 Q15 S14 D17 D15 D16 E16 E15 C15 B16 G16 E14 H15 J16 G17",C13,R17 O17 M3 D15 R14 E14 
16,B,48.42,51.58,D14,"D14 M3 N2 D13 E14 C9 E4 D3 D5 H4 J4 E5 F4 E3 E6",E16,D14 D15 D17 E16 
17,W,43.80,56.20,D16,"D16 D15 D17 C17 C15 B15 C14 E15 F17 G15 H18 B14 B13 D18 E18 C18 J17 D10 E13 D12 C11 C10",C10,D16 D17 F16 C10 
18,B,50.02,49.98,D17,"D17 C5 R14 M3 N2 K4 J4 K3 K5 L5 K2 M4 M2",D17,D17 B4 F17 C4 E4 F16 B3 
19,W,49.53,50.47,C5,"C5 O17 M3 N2 R14 R11 Q8 Q9 R9 P9 R10 Q11 R16 R17",B4,C5 R17 M3 B4 R14 C4 
20,B,53.45,46.55,E4,"E4 E3 D5 C5 E5 G4 B6 C4 C9 D9 B10 B11 B9 D10 D8 E8 D7",O17,E4 R14 O17 R13 D9 N17 
21,W,50.85,49.15,S15,"S15 S16 R16 R15 R17 S17 Q15 R14 Q17 P16 S14 S18 R13 Q14 Q12 P14 Q9 Q8 P8 R9 Q10 S12 S13 R8 P7 R11",R11,S15 R14 M3 R11 E9 
22,B,53.69,46.31,E4,"E4 E3 D5 C4 R14 E9 F8 F9 G8 H10 E8 P11",E4,E4 R14 R13 Q11 D9 C9 D10 C8 Q10 
23,W,54.12,45.88,E3,"E3 D5 C5 E5 G4 B6 C4 C9 D9 B10 B9 C8 B11 D10 C11 E9 R14 R15 Q14 Q10",E5,E3 E5 
24,B,52.04,47.96,F4,"F4 E3 D5 D6 C5 C4 D10 C9 D9 G4 C11 B11 D11 C12 C8",D9,F4 D3 D10 D5 D9 R14 
25,W,53.20,46.80,D10,"D10 F4 E3 D5 C5 D6 G4 F5 H3 J4 G5 F6 G6 F7 R14 D3 C4 C3 B3 B2 E2 C2 B6 B7",F4,D10 C9 F4 M3 F16 
26,B,52.28,47.72,C9,"C9 D10 E10 B9 B8 B10 E9 M3 E12 B15 N2 R14 Q11 R10 Q12 R12 Q14 R15 Q15 K17",C9,C9 D10 E6 D12 
27,W,51.95,48.05,D10,"D10 E10 B9 B8 B10 E9 E11 F11 E12 Q10 Q11 P10 P11 O10 S15 S16 R15 R16 S9 O11 K17 J17",D10,D10 B9 
28,B,51.97,48.03,E10,"E10 B9 B8 B10 E9 M3 E12 B15 N2 K4 K3 L3 J4 L5 J6 K6 J7 K7 O6 J8 K8",E10,E10 E9 B10 E6 
29,W,52.01,47.99,B9,"B9 B8 B10 E9 M3 E12 B15 N2 K4 K3 L3 J4 L5 J6 K2 P5 Q6 P6 P7 O7 O8 N7 J2",E11,B9 E9 E11 D15 
30,B,56.20,43.80,F11,"F11 E12 F12 E13 F10 M3 N2 K4 K3 L3 J4 L5 J6 K7 O6 J7 H6 M7",F11,F11 F10 B10 
31,W,56.12,43.88,E12,"E12 F12 E13 F10 M3 N2 K4 P2 Q2 K3 L3 J4 L5 J6 K2 P5 Q6 P6 J2 Q7 P7 R7",E12,E12 E9 
32,B,56.28,43.72,F12,"F12 E13 F10 M3 N2 K4 P2 Q2 K3 L3 J4 L5 J6 K2 P5 Q7 P7 Q8 J2 K7 P8 J7 H6",F12,F12 F10 B10 R14 
33,W,55.56,44.44,E13,"E13 F10 M3 N2 K4 K3 L3 J4 L5 J6 K2 P5 Q6 P6 P7 O7 O8 N7 J2 P8 Q7 O9 Q8 N8 N17 N16 M17",B10,E13 B9 B10 F13 E9 F16 
34,B,57.57,42.43,F9,"F9 M3 N2 K4 P2 K3 R2 Q2 Q1 O5 Q11 R10 Q13 Q10 P11 K17 M17",F9,F9 F10 E9 E13 
35,W,56.31,43.69,M3,"M3 N2 K4 P2 K3 R2 Q8 R13 K17 M17 K15 K13 M18 N18 M16 L17 L16 L18 M13",F13,M3 F13 G10 R14 F16 
36,B,57.96,42.04,G13,"G13 F14 R14 M3 N2 K4 K3 L3 J4 L5 J6 K7 O6 J7 H6 M7 L2 M2 M1 K2 L1",G13,G13 Q11 Q10 R14 R13 
37,W,58.65,41.35,F14,"F14 Q11 Q12 R10 R12 Q10 S16 R16 S15 S17 S18 R17 O12 R6 T17 R18 Q14 S5 S4 P2 Q2",F14,F14 E8 
38,B,60.82,39.18,Q10,"Q10 Q11 P10 S15 R15 S16 R13 Q17 P17 Q18 S14 P11 O11 O12 N12 O13 N13 O14 R10 N14 N11",G14,Q10 Q11 G14 R14 D14 R13 
39,W,55.75,44.25,M3,"M3 N2 K4 O6 K3 K6 F16 F17 G17 E18 Q8 P10 O8 R10 Q11 Q10 P11 O10",N17,M3 R14 N16 F16 J16 E8 F15 
40,B,64.83,35.17,N16,"N16 M17 O18 R14 Q11 R10 R12 S12 Q12 S13 L15 G17 F15 J17 K18 K17",N16,N16 O16 C12 N18 
41,W,64.37,35.63,M17,"M17 O18 R14 R15 M3 N2 S15 S16 Q15 R16 K4 K3 L3 J4 L5 K5 L4 L6 M6",M17,M17 M16 F16 O18 
42,B,64.03,35.97,O18,"O18 R14 Q10 Q11 P10 M3 N2 K4 K3 L3 J4 L5 K5 K6 L4 M4 N5 M5 J6 K7 J7 N6 O6",O18,O18 O16 
43,W,61.59,38.41,M3,"M3 N2 K4 K3 L3 J4 L5 K5 M5 L4 M4 O6 L7 J7 J8",J16,M3 R14 M16 K17 H17 J17 G17 R15 F16 J16 
44,B,68.77,31.23,H17,"H17 J17 L15 K14 M16 L17 H18 K15 R13 F16 F17",H17,H17 J17 M16 
45,W,66.59,33.41,F16,"J17 L15 M3 N2 K4 P2 K3 R2 O5 O4 Q2 Q1 P5 N5 N6 M6",K13,F16 J17 
46,B,72.23,27.77,L15,"L15 K15 L16 J17 R13 R15 R16 S16 S17 Q13 Q14 Q12 R14 Q8 M13 K11",Q10,L15 Q11 Q10 D14 R13 R14 M16 M14 M13 C12 F15 
47,W,68.21,31.79,F16,"F16 F17 M3 N2 K4 K3 L3 J4 L5 K5 K6 L4 M4 M5 K4 J5 M6 N5",Q11,F16 Q11 M3 S15 R15 R10 R14 J17 
48,B,70.20,29.80,P10,"P10 F16 F17 P11 O10 R15 R16 S16 S17 S9 O6 M16 N15 M15 R13 N14 O14 N13 O13 Q13",P10,P10 P11 
49,W,67.97,32.03,F16,"F16 F17 M3 P2 K4 R10 R14 R15 S15 S16 Q15 R16 O12 N2 K3 R2 Q2 Q1 O5 N10",P11,F16 M3 P11 R15 S15 R14 J17 R10 S16 S9 
50,B,70.54,29.46,O10,"O10 F16 F17 N12 R10 M3 N2 K4 J4 K3 K5 L5 K2 L2 L4 L3 M4",O11,O10 O11 R10 R14 
51,W,66.49,33.51,F16,"O10 R10 R15 R16 S10 S9 S11 Q8 N10 O12 M12 O14 S15 S7 S16 S17 Q15 S5 O5 O4",O12,F16 O10 R15 R10 O12 R14 J17 S15 
52,B,73.52,26.48,N12,"N12 O13 R10 N13 N11 R15 R16 S15 Q15 Q14 L15 K15 L16 L14 J14 K14 N15 J17 J18 F16 F17",N12,N12 R10 
53,W,73.78,26.22,O13,"O13 R14 N13 N11 M3 R10 Q13 N2 K4 P2 Q2 K3 L3 J4 L5 K5 M5 O6 K6 L4",O13,O13 N13 O10 N11 
54,B,74.55,25.45,R14,"R14 N13 N11 M3 R10 O2 Q13 M15 N15 M16 M13 M14 L13 N14 K14 P15 O16 J17 H18",N13,R14 N11 R10 N13 O10 N10 M14 
55,W,68.57,31.43,N14,"N14 N11 O14 R14 M16 Q13 M3 N2 K4 R10 K3 P5 Q6 P6 Q7 O8 J17 P12 R17",N11,N14 N11 N15 F16 O15 J17 
56,B,72.82,27.18,O10,"O10 N14 M11 N10 O14 N15 M16 O15 P14 Q13 Q14 O16 L16 L17 K16 K17 J15 P17 P18 Q17",O10,O10 N14 
57,W,73.67,26.33,N14,"N14 M11 N10 O14 N15 O15 M16 P12 P13 Q13 Q12 P14 P12 R10 Q14 O16 R13 M12 L14 J15 K15 K16 J14 J17 L16 R15 N9",N14,N14 N15 
