move_num,color_next,winrate_B,winrate_W,LZ_next_move,variation,actual_next_move,LZ_all_next_moves
0,B,43.38,56.62,Q4,"Q4 D16 Q16 D4 F17 O17 F3 O3 C14 D14 D13 E14 C16",Q16,Q4 Q16 D16 D4 R4 C4 R16 C16 Q17 Q3 D17 D3 
1,W,43.41,56.59,D4,"D4 Q4 D16 C17 D17 C16 D15 C14 C15 B15 C18 D14 C7 F14 B18 O3",C17,D4 Q4 D16 
2,B,44.23,55.77,D4,"D4 Q3 R5 O4 M3 R17 R16 Q17 O17 P17 P16 O18 N5 O5 N6",R4,D4 Q4 Q3 C4 P4 D3 R4 D16 
3,W,44.04,55.96,D3,"D3 C5 F4 O3 R17 R16 Q17 O17 P17 P16 O18 Q9 N17 O16",D3,D3 D4 C4 C3 
4,B,44.28,55.72,C5,"C5 F4 O4 R17 Q17 R16 R14 R15 Q15 S14 R18 S18 S15 Q18 S17",C5,C5 P4 O3 O4 D5 
5,W,43.99,56.01,E4,"E4 O4 R17 Q17 R16 R14 R15 Q15 S14 R18 S18 S15 Q18 S17",P3,E4 F4 P3 C4 P4 R17 
6,B,45.29,54.71,Q3,"Q3 P4 Q6 L4 E4 C4 B5 E3 F4 G3 G4 H3 H4 J3 D10 R17",Q3,Q3 E4 Q5 N3 M3 N4 F4 Q6 D16 
7,W,45.65,54.35,P4,"P4 Q6 L4 E4 E3 F4 G3 O5 R17 Q17 R16 R14 R15 Q15 S14 R18 R13 Q14 S12 S17 S16 T16 S15 M4 M3",P4,P4 C4 
8,B,46.01,53.99,Q6,"Q6 M4 E4 E3 F4 G3 G4 H3 H4 J4 F3 F2 E2 D2 G2 E1 J3 H2 J2 G1 L4 J5 M5 L5 L3 L6 N4 M6",Q6,Q6 R6 E4 
9,W,44.52,55.48,M4,"M4 E4 E3 F4 G3 G4 H3 H4 J4 F3 F2 E2 D2 G2 E1 J3 H2 J2 G1 L4 J5 M5 L5 L3 L6 N4 M6 N5",L4,M4 L4 C4 F4 L3 R17 H4 E4 M3 R5 
10,B,46.54,53.46,E4,"E4 F2 R14 C4 B4 B3 D4 C3 D8 C10 D16 D17 F16 D15 O5 N4 M5",E4,E4 F4 O5 N2 D16 
11,W,45.83,54.17,F2,"F2 R14 C4 B4 B3 D4 C3 D8 C10 D16 D17 F16 D15 O5 N4 M5",F3,F2 E3 C4 
