move_num,color_next,winrate_B,winrate_W,LZ_next_move,variation,actual_next_move,LZ_all_next_moves
0,B,43.35,56.65,D16,"D16 Q4 Q16 D4 C6 C14 O3 R14 F3 F4 G4 F5 E3 D3 D7",D4,D16 Q16 D4 Q4 D3 C16 Q3 C4 D17 R16 R4 Q17 
1,W,43.39,56.61,Q16,"Q16 Q4 D16 C17 C16 D17 E16 F17 E17 E18 B17 F16 N17 F14 B18 R6 C3",Q4,Q16 D16 Q4 
2,B,43.76,56.24,Q16,"Q16 D16 C17 C16 D17 F17 E17 E16 F18 R17 R16 Q17 O17 P17 P16 O18 R3 Q3 R4 R6",C16,Q16 R3 D16 D17 C16 
3,W,43.35,56.65,Q17,"Q17 R15 R16 Q15 O17 O3 R6 F16 R11 N15 P12 N12 O10 F3 M11 O5 L13 L15",Q16,Q17 Q16 R16 R17 
4,B,43.62,56.38,F16,"F16 F3 O3 R6 H3 C6 F4 H17 R17 Q17 R16 Q15 S14 D16 D15 D17 C17",O17,F16 F17 R3 
5,W,42.78,57.22,C3,"C3 C4 D3 F3 E3 E4 F2 F16 M17 D10 J17 R3 R4 Q3 P3 P2",E17,C3 F3 E17 C6 R14 E16 P17 
6,B,43.15,56.85,G16,"G16 C3 C4 D3 F3 E3 E4 F2 E16 D17 D16 G17 H17 F17 H16 C17 D10 O16 N16 O15 Q17 R17 P17 R16 R3 R4 Q3 P4 P3",R14,G16 R3 G17 D14 H17 D15 O3 H16 R6 R14 
7,W,42.12,57.88,O16,"O16 N16 O15 Q17 R17 P17 R16 Q13 O13 Q10 L16 M17 D15 C15 D14 C14 L17 N15 N14 M15 D13",Q14,O16 D15 Q14 
8,B,41.45,58.55,Q13,"Q13 P14 R16 R17 R15 Q17 L17 Q11 P13 M16 M17 O16 N13 J17 L16 N16 P17 O13 O14 O12 Q15 P15 P16 O15 R12 N14 P18 R11 S17 F3 R3",Q13,Q13 D17 
9,W,41.38,58.62,P14,"P14 R16 R17 R15 Q17 M17 D15 C15 D14 C13 K17 K16 J16 L16 J17 K14 O16 N16 C3 C4 D3 E4 F2 R6 O18",P14,P14 R15 
10,B,41.28,58.72,R16,"R16 R17 R15 Q17 M17 D15 C15 D14 C13 K17 K16 J16 L16 J17 K14 O16 N16 R7 P18 N18 M18 N15 R10 F3 H3 C3 D3",R16,R16 R15 
11,W,41.27,58.73,R17,"R17 R15 Q17 L17 Q11 Q12 R11 O12 M16 M17 O16 P11 Q9 P10 D15 C15 D14 C13 N16 P18 J17 J16 H16 K16",R17,R17 D15 
12,B,41.32,58.68,R15,"R15 Q17 M17 D15 C15 D14 C13 K17 K16 J16 L16 J17 K14 O16 N16 R7 P13 O18 F3 R10 O3 M3",R15,R15 S15 
13,W,41.29,58.71,Q17,"Q17 M17 D15 C15 D14 C13 K17 K16 J16 L16 J17 K14 C3 C4 D3 E4 F2 P13 O16 N16 O18 R6 R8 P6",Q17,Q17 O16 
14,B,41.30,58.70,L17,"M17 D15 C15 D14 C13 K17 K16 J16 L16 J17 K14 C3 C4 D3 E4 F2 P13 O16 N16 O18 R6 R8 P6",N16,L17 M17 N16 
15,W,39.94,60.06,L17,"L17 M14 D15 D17 N14 M15 D18 E16 D16 C17 F18 F17 E18 B14 F16 R12 N12",D15,L17 D15 K16 J17 K17 N14 
16,B,41.16,58.84,D17,"D17 L17 N14 M15 N15 E18 C15 D14 C13 Q15 R12 P13 P12 O12 P11 N13 M14",C15,D17 C15 
17,W,39.59,60.41,D14,"D14 C14 D13 P18 N14 L16 C13 D18 N18 J17 Q11 P12 S12 R13 N12 N11 M12 P11 Q10",D14,D14 L17 
18,B,39.79,60.21,C14,"C14 D13 P13 C13 D18 N14 O13 N15 L16 R10 R12 R7 P18",C13,C14 C13 B13 
19,W,38.88,61.12,L17,"L17 M14 N14 M15 J16 M12 M13 L13 N13 L12 Q11 P12 Q15 R12 N12 N11 O11 P11 N10 M11",L17,L17 K16 N14 K17 L16 J17 C3 
