move_num,color_next,winrate_B,winrate_W,LZ_next_move,variation,actual_next_move,LZ_all_next_moves
0,B,43.21,56.79,D4,"D4 Q16 Q4 D16",Q4,D4 Q16 D16 Q4 
1,W,43.38,56.62,D16,"D16 D4 Q16 C14 C6",D4,D16 D4 Q16 
2,B,43.65,56.35,Q16,"Q16 D16 F3 O3 F17 O17 C14",Q17,Q16 D16 C3 
3,W,43.22,56.78,C16,"C16 E17 R3 R4",D16,C16 D16 D17 C17 
4,B,42.80,57.20,Q14,"Q14 R3 Q3 R4 R6",F3,Q14 R14 C17 F17 
5,W,42.94,57.06,O3,"O3 Q14 R6 Q6",C6,O3 R3 C6 R15 
6,B,43.10,56.90,Q14,"Q14 R3 Q3 R4 R6",R12,Q14 R14 C17 D3 
7,W,42.64,57.36,R3,"R3 R4 Q3 P4",R6,R3 O3 F17 Q16 
8,B,41.49,58.51,C17,"C17 D17 C16 C14",R5,C17 R5 O3 F17 
9,W,43.22,56.78,Q6,"Q6 O4 R10 R8 P10 P8",Q6,Q6 Q16 
10,B,43.64,56.36,O4,"O4 R10 R8 P10 P8 R15 Q14 Q15",O4,O4 O3 
11,W,43.78,56.22,R10,"R10 R8 P10 P8 R15 Q14 Q15 P15",Q9,R10 Q16 R9 
12,B,43.90,56.10,P10,"P10 Q16 P17",R10,P10 P12 Q15 R10 
13,W,42.96,57.04,M3,"M3 M4 L4 M5",E3,M3 Q10 Q16 R9 
14,B,42.96,57.04,R9,"R9 F4 F17",F4,R9 Q10 F4 O9 
15,W,42.23,57.77,M3,"M3 K3 P2 S5 P3 P4",K3,M3 Q16 R9 
16,B,44.01,55.99,D5,"D5 C5 C3 E4",M3,D5 R9 Q10 M3 
17,W,45.18,54.82,H3,"H3 F7 J6 D7 C7 D8",H3,H3 K5 O2 J6 
18,B,46.33,53.67,F7,"F7 J6 D7 C7 D8 B9 F17 O2 O3",F7,F7 Q10 
19,W,45.44,54.56,J6,"J6 D7 C7 D8 B9 F17 O2 O3 R3",O2,J6 H6 O2 Q16 
20,B,50.54,49.46,O3,"O3 N2 L3 K4 L5 J6 D7 C7",D7,O3 N2 L3 
21,W,44.52,55.48,D6,"D6 E6 E8 E7",D6,D6 R3 N4 C7 
22,B,47.12,52.88,E6,"E6 R3 Q3 S5 R2",E6,E6 J4 
23,W,47.91,52.09,R3,"R3 Q3 S5 R2 E8 E7 B8",E8,R3 E8 C7 
24,B,49.15,50.85,E7,"E7 B8 O3 N2 L3 K5 K2 J2 K4",E7,E7 F8 
25,W,48.58,51.42,B8,"B8 O3 N2 L3 K5 K2 J2 K4",B8,B8 R3 
26,B,50.38,49.62,O3,"O3 N2 M2 R3 Q3 S5 R4 R9",C9,O3 L3 
27,W,47.00,53.00,R3,"R3 Q3 S5 R2",R3,R3 M2 Q16 F2 
28,B,47.16,52.84,Q3,"Q3 S5 R2 R4 Q5 N3 N4",Q3,Q3 S6 
29,W,47.10,52.90,S5,"S5 R2 R4 Q5 N3 N4 M2 O3 N2 F17",Q2,S5 Q2 Q16 N4 
30,B,47.20,52.80,O3,"O3 R4 R2 S2 S5 Q5 R1 S4",O3,O3 S3 
31,W,42.13,57.87,R4,"R4 R2 S2 S5 Q5 R1 S4",Q16,R4 N2 S5 
32,B,54.57,45.43,P17,"P17 N2 L3",P17,P17 P16 R16 S3 
33,W,57.76,42.24,R16,"R16 R17 S17 P16 S15 Q15",P11,R16 N2 R4 R9 
34,B,59.31,40.69,P13,"P13 R9 S3 R16",S3,P13 S3 Q14 Q10 
35,W,61.52,38.48,Q13,"Q13 Q10 P10 P9 Q8 R13",Q13,Q13 R16 
36,B,58.99,41.01,Q10,"Q10 P10 P9 Q8 R13 Q14 O9",R16,Q10 R16 R13 
37,W,66.58,33.42,R15,"R15 Q15 R13 S15 R14 P16 R9 F2 E2",R13,R15 R13 
38,B,61.65,38.35,F2,"F2 J6 C3 C4 D2 B9 C10",F2,F2 S8 K6 
39,W,61.84,38.16,J6,"J6 C3 C4 D2 B9 C10 E2 E1 D3",G5,J6 E2 N2 
40,B,68.74,31.26,C3,"C3 C4 D3 B3",C3,C3 J5 J4 J6 
41,W,66.98,33.02,C4,"C4 D3 B3 E4 B2 J7 K6",C8,C4 E2 
42,B,73.38,26.62,C4,"C4 D8 C14",D8,C4 C7 D8 D3 
43,W,70.87,29.13,C4,"C4 D3 B3 E4 D2 S8",D9,C4 E2 
44,B,73.09,26.91,C10,"C10 C4 D3 B3",C10,C10 D10 C4 D3 
45,W,72.16,27.84,C4,"C4 D3 D10 D11 F10",D10,C4 D10 
46,B,81.62,18.38,D11,"D11 F10 C12 C4 D3 B3 E4 D2",D11,D11 C11 C7 B5 
47,W,78.79,21.21,F10,"F10 C12 C4 D3 B3 E4 D2 C2",F10,F10 E11 
48,B,80.82,19.18,C12,"C12 C4 D3 B3 E4 D2 C2 B2",C12,C12 F9 
49,W,80.01,19.99,C4,"C4 D3 B3 E4 D2 C2 B2 E2",C4,C4 E2 
50,B,85.47,14.53,D3,"D3 E4 E2 B3 B2 F5 E5 B4 H7 J6",D3,D3 D2 E4 
51,W,84.95,15.05,E4,"E4 E2 B3 B2 F5 E5 B4 H7 J6",B11,E4 B3 F5 
52,B,86.51,13.49,C11,"C11 F5 E5",C11,C11 F9 E4 B12 
53,W,77.43,22.57,F5,"F5 E5 E4 E2 B3 B2",E4,F5 B3 
54,B,88.01,11.99,E2,"E2 B3 B2 C14",E2,E2 F5 C7 D2 E1 D1 F1 C2 C1 
55,W,85.69,14.31,B3,"B3 B2 C14 F12 H10 F5 C2 D2",B3,B3 C14 
56,B,87.11,12.89,B2,"B2 C14 F12 H10 F5 C2 D2",B2,B2 F5 C7 
