,move_num,color_next,winrate_B,winrate_W,LZ_next_move,variation,actual_next_move
0,0,B,43.40,56.60,Q16,"Q16 D4 D16 Q4 C6 C14 R6 R14 F3 F4 G4 F5 D3",Q16
1,1,W,43.42,56.58,D4,"D4 D16 Q4 C3 C4 D3 E4 F3 E3 E2 B3 F4 N3 F6 B2 R14",D4
2,2,B,43.53,56.47,Q4,"Q4 D16 C3 D3 C4 D5 C6 C5 B5 C2 F17 C8 C14 F16 G16 F15 D17",C16
3,3,W,43.20,56.80,Q4,"Q4 C3 C4 D3 E4 F2 R14 F16 R17 R16 Q17 P16 S16 S15 S17 R3 R4 Q3 P4 P3 O4 O3 O17",R4
4,4,B,43.82,56.18,P3,"P3 Q5 C6 F3 C4 C3 B3 C5 B4",P4
5,5,W,42.86,57.14,P3,"P3 O3 Q3 O4 R6 F16 R17 Q17 R16 R14 R15 Q15 S14 F3 C6 D3 C3 C2 E3",P3
6,6,B,42.80,57.20,O3,"O3 Q3 O4 R6 E16 K3 P7 K5 C6 C5 D6 F4 D10 B8 C3",O3
7,7,W,42.73,57.27,Q3,"Q3 O4 R6 F16 C6 K4 R17 R16 Q17 O17 P17 P16 O18 S17 S18 P18 S16 R18",Q3
8,8,B,42.74,57.26,O4,"O4 R6 F16 C6 K4 R17 R16 Q17 O17 P17 P16 O18 S17 S18 P18 S16 R18 T17",C6
9,9,W,38.73,61.27,O4,"O4 F3 F4 G4 F5 D3 C3 E3 D6 E4 D5 C2 B4 B3 C4 N3 O5 M5 O7 R10 E17 B2 C9 D7",F3
10,10,B,42.65,57.35,O4,"O4 R6 F16 K4 P7 C9 C12 E9 C4 C3 B3 B2 D3 C2 D5 E4 E5",N4
11,11,W,40.64,59.36,R17,"R17 Q17 R16 R14 R15 Q15 S14 F16 C9 C11 D11 D12 D10 C4 C3 B3 C2 D5",Q5
12,12,B,45.60,54.40,F16,"F17 K4 O17 C9 C11 E9 E11 C4 G4 G3",J3
13,13,W,44.09,55.91,R17,"R17 Q17 R16 R14 R15 Q15 S14 F16 M3 N2 C9 E4 E5 C4 C3",E17
14,14,B,45.32,54.68,G17,"G17 R17 Q17 R16 R14 R15 Q15 S14 F16 M3 N2 C17",H16
15,15,W,43.36,56.64,R17,"R17 Q17 R16 R14 R15 Q15 S14 D17 D15 D16 M3 N2 C9 E4 D3 D5 H4 C11",C13
16,16,B,48.38,51.62,D14,"D14 M3 N2 D13 E14 C9 E4 D3 D5 H4 J4 E5 F4 E3 E6",E16
17,17,W,43.70,56.30,D16,"D17 D16 C17 F16 G18 C10 M3 N2 L5 L3 R14 R12 E10 C4",C10
18,18,B,50.01,49.99,D17,"D17 C5 O17 M3 N2 K4 J4 K3 K5 L5 K2 L2",D17
19,19,W,49.72,50.28,C5,"C5 O17 M3 N2 R14 R15 Q14 R11 Q8 Q9 R9 Q10 R8 O14",B4
20,20,B,52.78,47.22,E4,"E4 E3 D5 C5 E5 G4 B6 C4 C9 D9 B10 B11 B9 D10 D8",O17
21,21,W,50.95,49.05,S15,"S15 S16 R16 R15 R17 S17 Q15 R14 Q17 P16 S14 S18 R13 Q14 Q12 P14 Q9 Q8 P8 R9 Q10 S12 S13 R7 P7 R11",R11
22,22,B,54.41,45.59,E4,"E4 E3 D5 C4 D10 C9 C11 B11 D11 B12 D9 D8 E8 E7 D7 C8",E4
23,23,W,53.97,46.03,E3,"E3 D5 C5 E5 G4 B6 C4 C9 D9 B10 B11 B9 D10 D8 E8 D7 R14 R15",E5
24,24,B,54.15,45.85,F4,"F4 E3 D5 C5 D6 H3 F5 J4 K3 K4 L3 G4 G5 H5 G7 B6",D9
25,25,W,53.21,46.79,D10,"D10 F4 E3 D5 C5 D6 H3 D3 C4 G4 H4 G3 G2 F6",F4
26,26,B,52.51,47.49,C9,"C9 D10 E10 B9 B8 B10 E9 M3 N2 K4 K3 L3 J4 L5 K5 K6 L4 M4 M5",C9
27,27,W,52.16,47.84,D10,"D10 E10 B9 B8 B10 E9 M3 N2 K4 E12 B15 K3 L3 J4 L5 K5 L4 L6 M6 K6 N5",D10
28,28,B,51.94,48.06,E10,"E10 B9 B8 B10 E9 M3 N2 K4 K3 L3 J4 L5 J6 K7 L2 M2 M1 O6 E12 B15 Q11 Q12 R10",E10
